,STATION,NAME,DATE,LATITUDE,LONGITUDE,EMNT
53,USC00013775,"HEFLIN, AL US",2018,33.64353,-85.60918000000001,-12.8
54,USC00013775,"HEFLIN, AL US",2019,33.64353,-85.60918000000001,-8.3
13,USC00013781,"HELENA, AL US",2014,33.2725,-86.83361,-15.6
14,USC00013781,"HELENA, AL US",2015,33.2725,-86.83361,-12.2
15,USC00013781,"HELENA, AL US",2016,33.2725,-86.83361,-6.7
16,USC00013781,"HELENA, AL US",2017,33.2725,-86.83361,-8.9
18,USC00013781,"HELENA, AL US",2019,33.2725,-86.83361,-6.7
44,USC00014193,"JACKSON, AL US",2014,31.5253,-87.9277,-11.1
45,USC00014193,"JACKSON, AL US",2015,31.5253,-87.9277,-9.4
46,USC00014193,"JACKSON, AL US",2016,31.5253,-87.9277,-5.0
47,USC00014193,"JACKSON, AL US",2017,31.5253,-87.9277,-7.8
62,USC00014502,"LAFAYETTE 2 W, AL US",2014,32.9069,-85.4336,-15.0
63,USC00014502,"LAFAYETTE 2 W, AL US",2015,32.9069,-85.4336,-13.3
64,USC00014502,"LAFAYETTE 2 W, AL US",2016,32.9069,-85.4336,-7.8
65,USC00014502,"LAFAYETTE 2 W, AL US",2017,32.9069,-85.4336,-11.7
66,USC00014502,"LAFAYETTE 2 W, AL US",2018,32.9069,-85.4336,-13.3
67,USC00014502,"LAFAYETTE 2 W, AL US",2019,32.9069,-85.4336,-7.2
63,USC00015121,"MARION JUNCTION 2 NE, AL US",2014,32.4715,-87.2313,-13.9
64,USC00015121,"MARION JUNCTION 2 NE, AL US",2015,32.4715,-87.2313,-12.2
65,USC00015121,"MARION JUNCTION 2 NE, AL US",2016,32.4715,-87.2313,-6.1
66,USC00015121,"MARION JUNCTION 2 NE, AL US",2017,32.4715,-87.2313,-8.9
16,USC00015553,"MONTGOMERY 6 SW, AL US",2014,32.26,-86.21799999999999,-13.3
17,USC00015553,"MONTGOMERY 6 SW, AL US",2015,32.26,-86.21799999999999,-10.0
18,USC00015553,"MONTGOMERY 6 SW, AL US",2016,32.26,-86.21799999999999,-4.4
2,USC00015751,"MUSCLE SHOALS WATER PLANT, AL US",2014,34.7586,-87.6411,-15.6
3,USC00015751,"MUSCLE SHOALS WATER PLANT, AL US",2015,34.7586,-87.6411,-14.4
4,USC00015751,"MUSCLE SHOALS WATER PLANT, AL US",2016,34.7586,-87.6411,-9.4
5,USC00015751,"MUSCLE SHOALS WATER PLANT, AL US",2017,34.7586,-87.6411,-12.8
6,USC00015751,"MUSCLE SHOALS WATER PLANT, AL US",2018,34.7586,-87.6411,-15.6
7,USC00015751,"MUSCLE SHOALS WATER PLANT, AL US",2019,34.7586,-87.6411,-8.3
56,USC00015635,"MOULTON 2, AL US",2014,34.4884,-87.29899999999999,-16.1
57,USC00015635,"MOULTON 2, AL US",2015,34.4884,-87.29899999999999,-15.0
58,USC00015635,"MOULTON 2, AL US",2016,34.4884,-87.29899999999999,-9.4
59,USC00015635,"MOULTON 2, AL US",2017,34.4884,-87.29899999999999,-12.8
60,USC00015635,"MOULTON 2, AL US",2018,34.4884,-87.29899999999999,-14.4
61,USC00015635,"MOULTON 2, AL US",2019,34.4884,-87.29899999999999,-8.9
93,USC00016121,"ONEONTA, AL US",2015,33.9265,-86.42116,-13.3
50,USC00016129,"OPELIKA, AL US",2014,32.6592,-85.4492,-14.4
51,USC00016129,"OPELIKA, AL US",2015,32.6592,-85.4492,-12.2
54,USC00016129,"OPELIKA, AL US",2018,32.6592,-85.4492,-11.1
55,USC00016129,"OPELIKA, AL US",2019,32.6592,-85.4492,-6.1
10,USC00016196,"OWENS CROSS ROADS 3 S, AL US",2014,34.5528,-86.445,-16.7
11,USC00016196,"OWENS CROSS ROADS 3 S, AL US",2015,34.5528,-86.445,-15.6
12,USC00016196,"OWENS CROSS ROADS 3 S, AL US",2016,34.5528,-86.445,-9.4
13,USC00016196,"OWENS CROSS ROADS 3 S, AL US",2017,34.5528,-86.445,-12.2
14,USC00016196,"OWENS CROSS ROADS 3 S, AL US",2018,34.5528,-86.445,-15.6
15,USC00016196,"OWENS CROSS ROADS 3 S, AL US",2019,34.5528,-86.445,-9.4
44,USC00017020,"ROCKFORD 3 ESE, AL US",2014,32.8711,-86.1758,-12.8
45,USC00017020,"ROCKFORD 3 ESE, AL US",2015,32.8711,-86.1758,-8.9
56,USC00017025,"ROCK MILLS, AL US",2016,33.158,-85.2911,-9.4
56,USC00017131,"RUSSELLVILLE NUMBER 2, AL US",2017,34.51,-87.7319,-11.1
96,USC00016988,"ROBERTSDALE, AL US",2015,30.5654,-87.7018,-7.8
97,USC00016988,"ROBERTSDALE, AL US",2016,30.5654,-87.7018,-4.4
98,USC00016988,"ROBERTSDALE, AL US",2017,30.5654,-87.7018,-5.6
99,USC00016988,"ROBERTSDALE, AL US",2018,30.5654,-87.7018,-7.2
100,USC00016988,"ROBERTSDALE, AL US",2019,30.5654,-87.7018,-3.3
100,USC00017304,"SCOTTSBORO, AL US",2014,34.6736,-86.0536,-15.0
101,USC00017304,"SCOTTSBORO, AL US",2015,34.6736,-86.0536,-14.4
102,USC00017304,"SCOTTSBORO, AL US",2016,34.6736,-86.0536,-9.4
103,USC00017304,"SCOTTSBORO, AL US",2017,34.6736,-86.0536,-12.2
104,USC00017304,"SCOTTSBORO, AL US",2018,34.6736,-86.0536,-14.4
105,USC00017304,"SCOTTSBORO, AL US",2019,34.6736,-86.0536,-11.1
105,USC00017157,"SAINT BERNARD, AL US",2014,34.1736,-86.8133,-16.1
109,USC00017157,"SAINT BERNARD, AL US",2019,34.1736,-86.8133,-8.9
63,USC00017207,"SAND MOUNT SUBSTATION, AL US",2015,34.2877,-85.96799999999999,-15.0
64,USC00017207,"SAND MOUNT SUBSTATION, AL US",2016,34.2877,-85.96799999999999,-9.4
65,USC00017207,"SAND MOUNT SUBSTATION, AL US",2017,34.2877,-85.96799999999999,-11.7
66,USC00017207,"SAND MOUNT SUBSTATION, AL US",2018,34.2877,-85.96799999999999,-15.6
67,USC00017207,"SAND MOUNT SUBSTATION, AL US",2019,34.2877,-85.96799999999999,-8.9
113,USC00017366,"SELMA, AL US",2015,32.411,-87.0144,-10.6
114,USC00017366,"SELMA, AL US",2016,32.411,-87.0144,-3.9
117,USC00017366,"SELMA, AL US",2019,32.411,-87.0144,-5.0
0,USC00017674,"SOUTHWEST HUNTSVILLE, AL US",2014,34.6375,-86.7269,-15.6
54,USC00017999,"SYLACAUGA 4 NE, AL US",2014,33.2053,-86.2114,-17.8
55,USC00017999,"SYLACAUGA 4 NE, AL US",2015,33.2053,-86.2114,-12.8
57,USC00017999,"SYLACAUGA 4 NE, AL US",2017,33.2053,-86.2114,-13.9
58,USC00017999,"SYLACAUGA 4 NE, AL US",2018,33.2053,-86.2114,-14.4
59,USC00017999,"SYLACAUGA 4 NE, AL US",2019,33.2053,-86.2114,-8.9
54,USC00018209,"THORSBY EXPERIMENTAL STATION, AL US",2019,32.9205,-86.6708,-5.6
110,USC00018024,"TALLADEGA, AL US",2014,33.4163,-86.135,-18.9
111,USC00018024,"TALLADEGA, AL US",2015,33.4163,-86.135,-13.3
112,USC00018024,"TALLADEGA, AL US",2016,33.4163,-86.135,-8.3
113,USC00018024,"TALLADEGA, AL US",2017,33.4163,-86.135,-10.0
114,USC00018024,"TALLADEGA, AL US",2018,33.4163,-86.135,-12.8
115,USC00018024,"TALLADEGA, AL US",2019,33.4163,-86.135,-7.8
17,USC00018380,"TUSCALOOSA ACFD, AL US",2014,33.2119,-87.6161,-13.3
18,USC00018380,"TUSCALOOSA ACFD, AL US",2015,33.2119,-87.6161,-11.7
19,USC00018380,"TUSCALOOSA ACFD, AL US",2016,33.2119,-87.6161,-5.0
20,USC00018380,"TUSCALOOSA ACFD, AL US",2017,33.2119,-87.6161,-8.9
21,USC00018380,"TUSCALOOSA ACFD, AL US",2018,33.2119,-87.6161,-12.2
98,USC00018323,"TROY, AL US",2016,31.8075,-85.9722,-4.4
99,USC00018323,"TROY, AL US",2017,31.8075,-85.9722,-7.8
100,USC00018323,"TROY, AL US",2018,31.8075,-85.9722,-9.4
101,USC00018323,"TROY, AL US",2019,31.8075,-85.9722,-5.0
91,USC00018438,"UNION SPRINGS 9 S, AL US",2014,32.0142,-85.7464,-13.9
92,USC00018438,"UNION SPRINGS 9 S, AL US",2015,32.0142,-85.7464,-11.7
93,USC00018438,"UNION SPRINGS 9 S, AL US",2016,32.0142,-85.7464,-6.1
109,USC00018469,"VALLEY HEAD, AL US",2014,34.5686,-85.6063,-18.3
110,USC00018469,"VALLEY HEAD, AL US",2016,34.5686,-85.6063,-11.7
112,USC00018469,"VALLEY HEAD, AL US",2019,34.5686,-85.6063,-9.4
53,USC00018517,"VERNON, AL US",2014,33.7392,-88.1275,-13.9
54,USC00018517,"VERNON, AL US",2015,33.7392,-88.1275,-13.3
55,USC00018517,"VERNON, AL US",2016,33.7392,-88.1275,-7.8
56,USC00018517,"VERNON, AL US",2017,33.7392,-88.1275,-11.1
57,USC00018517,"VERNON, AL US",2018,33.7392,-88.1275,-14.4
58,USC00018517,"VERNON, AL US",2019,33.7392,-88.1275,-8.9
8,USC00018812,"WEST POINT, AL US",2015,34.2834,-86.9142,-15.6
9,USC00018812,"WEST POINT, AL US",2016,34.2834,-86.9142,-9.4
110,USC00018859,"WETUMPKA, AL US",2016,32.5937,-86.1664,-3.9
64,USC00018998,"WINFIELD 2 SW, AL US",2014,33.9107,-87.8469,-16.7
65,USC00018998,"WINFIELD 2 SW, AL US",2015,33.9107,-87.8469,-14.4
67,USC00018998,"WINFIELD 2 SW, AL US",2017,33.9107,-87.8469,-12.2
68,USC00018998,"WINFIELD 2 SW, AL US",2018,33.9107,-87.8469,-15.0
69,USC00018998,"WINFIELD 2 SW, AL US",2019,33.9107,-87.8469,-7.2
64,USC00020060,"AGUILA, AZ US",2014,33.9433,-113.1875,-4.4
65,USC00020060,"AGUILA, AZ US",2015,33.9433,-113.1875,-6.7
97,USC00020080,"AJO, AZ US",2014,32.3698,-112.8599,0.6
98,USC00020080,"AJO, AZ US",2015,32.3698,-112.8599,-2.8
99,USC00020080,"AJO, AZ US",2016,32.3698,-112.8599,-0.6
100,USC00020080,"AJO, AZ US",2017,32.3698,-112.8599,0.6
101,USC00020080,"AJO, AZ US",2018,32.3698,-112.8599,-2.2
102,USC00020080,"AJO, AZ US",2019,32.3698,-112.8599,-2.8
38,USC00020100,"ALAMO DAM, AZ US",2014,34.228,-113.5777,-3.9
64,USC00020287,"ANVIL RANCH, AZ US",2015,31.9793,-111.3837,-7.8
65,USC00020287,"ANVIL RANCH, AZ US",2016,31.9793,-111.3837,-7.8
27,USC00020288,"APACHE JUNCTION 5 NE, AZ US",2014,33.4625,-111.4813,-4.4
28,USC00020288,"APACHE JUNCTION 5 NE, AZ US",2015,33.4625,-111.4813,-2.8
29,USC00020288,"APACHE JUNCTION 5 NE, AZ US",2016,33.4625,-111.4813,-2.8
31,USC00020288,"APACHE JUNCTION 5 NE, AZ US",2018,33.4625,-111.4813,-2.2
32,USC00020288,"APACHE JUNCTION 5 NE, AZ US",2019,33.4625,-111.4813,-3.9
11,USC00020404,"ARIZONA CITY, AZ US",2014,32.7306,-111.6917,-3.9
13,USC00020404,"ARIZONA CITY, AZ US",2016,32.7306,-111.6917,-6.7
14,USC00020404,"ARIZONA CITY, AZ US",2017,32.7306,-111.6917,-5.0
80,USC00020586,"BAGDAD, AZ US",2016,34.5975,-113.1745,-7.8
81,USC00020586,"BAGDAD, AZ US",2017,34.5975,-113.1745,-6.1
48,USC00020672,"BEAVER DAM, AZ US",2015,36.9139,-113.9423,-5.6
49,USC00020672,"BEAVER DAM, AZ US",2016,36.9139,-113.9423,-5.0
51,USC00020672,"BEAVER DAM, AZ US",2019,36.9139,-113.9423,-5.6
20,USC00020683,"BENSON 6 SE, AZ US",2016,31.8805,-110.2403,-9.4
21,USC00020683,"BENSON 6 SE, AZ US",2017,31.8805,-110.2403,-9.4
68,USC00020750,"BETATAKIN, AZ US",2016,36.6778,-110.5411,-17.2
69,USC00020750,"BETATAKIN, AZ US",2017,36.6778,-110.5411,-14.4
54,USC00020808,"BLACK RIVER PUMPS, AZ US",2015,33.4783,-109.7516,-16.1
55,USC00020808,"BLACK RIVER PUMPS, AZ US",2016,33.4783,-109.7516,-17.8
56,USC00020808,"BLACK RIVER PUMPS, AZ US",2017,33.4783,-109.7516,-14.4
57,USC00020808,"BLACK RIVER PUMPS, AZ US",2018,33.4783,-109.7516,-19.4
14,USC00020678,"BELLEMONT WEATHER FORECAST OFFICE, AZ US",2014,35.2302,-111.8221,-17.2
15,USC00020678,"BELLEMONT WEATHER FORECAST OFFICE, AZ US",2015,35.2302,-111.8221,-25.6
16,USC00020678,"BELLEMONT WEATHER FORECAST OFFICE, AZ US",2016,35.2302,-111.8221,-29.4
17,USC00020678,"BELLEMONT WEATHER FORECAST OFFICE, AZ US",2017,35.2302,-111.8221,-24.4
18,USC00020678,"BELLEMONT WEATHER FORECAST OFFICE, AZ US",2018,35.2302,-111.8221,-24.4
19,USC00020678,"BELLEMONT WEATHER FORECAST OFFICE, AZ US",2019,35.2302,-111.8221,-25.6
43,USC00020871,"BLUE RIDGE RANGER STATION, AZ US",2015,34.6108,-111.1922,-20.6
44,USC00020871,"BLUE RIDGE RANGER STATION, AZ US",2016,34.6108,-111.1922,-21.7
46,USC00020871,"BLUE RIDGE RANGER STATION, AZ US",2019,34.6108,-111.1922,-21.7
62,USC00020949,"BOUSE, AZ US",2014,33.9431,-114.0242,-4.4
63,USC00020949,"BOUSE, AZ US",2015,33.9431,-114.0242,-5.6
64,USC00020949,"BOUSE, AZ US",2016,33.9431,-114.0242,-3.9
36,USC00021050,"BULLHEAD CITY, AZ US",2016,35.1411,-114.5686,1.7
41,USC00021248,"CANYON DE CHELLY, AZ US",2014,36.1533,-109.5394,-13.9
42,USC00021248,"CANYON DE CHELLY, AZ US",2015,36.1533,-109.5394,-15.0
43,USC00021248,"CANYON DE CHELLY, AZ US",2016,36.1533,-109.5394,-15.0
44,USC00021248,"CANYON DE CHELLY, AZ US",2017,36.1533,-109.5394,-15.6
45,USC00021248,"CANYON DE CHELLY, AZ US",2018,36.1533,-109.5394,-17.2
44,USC00021282,"CAREFREE, AZ US",2016,33.8161,-111.9019,-2.8
45,USC00021282,"CAREFREE, AZ US",2018,33.8161,-111.9019,-2.2
46,USC00021282,"CAREFREE, AZ US",2019,33.8161,-111.9019,-2.8
92,USC00021314,"CASA GRANDE NATIONAL MONUMENT, AZ US",2015,32.9947,-111.5367,-5.0
93,USC00021314,"CASA GRANDE NATIONAL MONUMENT, AZ US",2016,32.9947,-111.5367,-3.9
43,USC00021330,"CASCABEL, AZ US",2014,32.26174,-110.34803000000001,-10.6
44,USC00021330,"CASCABEL, AZ US",2015,32.26174,-110.34803000000001,-10.6
45,USC00021330,"CASCABEL, AZ US",2016,32.26174,-110.34803000000001,-11.1
46,USC00021330,"CASCABEL, AZ US",2017,32.26174,-110.34803000000001,-11.1
47,USC00021330,"CASCABEL, AZ US",2018,32.26174,-110.34803000000001,-10.0
58,USC00021353,"CASTLE HOT SPRINGS, AZ US",2014,33.9826,-112.3628,0.0
59,USC00021353,"CASTLE HOT SPRINGS, AZ US",2015,33.9826,-112.3628,-2.8
5,USC00021357,"CATALINA STATE PARK, AZ US",2014,32.4177,-110.9302,-6.7
6,USC00021357,"CATALINA STATE PARK, AZ US",2015,32.4177,-110.9302,-7.2
7,USC00021357,"CATALINA STATE PARK, AZ US",2016,32.4177,-110.9302,-8.9
8,USC00021357,"CATALINA STATE PARK, AZ US",2017,32.4177,-110.9302,-7.2
9,USC00021357,"CATALINA STATE PARK, AZ US",2018,32.4177,-110.9302,-5.6
10,USC00021357,"CATALINA STATE PARK, AZ US",2019,32.4177,-110.9302,-7.2
66,USC00021654,"CHINO VALLEY, AZ US",2014,34.7569,-112.4567,-10.0
67,USC00021654,"CHINO VALLEY, AZ US",2015,34.7569,-112.4567,-12.2
68,USC00021654,"CHINO VALLEY, AZ US",2016,34.7569,-112.4567,-10.6
88,USC00022109,"CORDES, AZ US",2015,34.305,-112.165,-7.8
89,USC00022109,"CORDES, AZ US",2016,34.305,-112.165,-5.0
90,USC00022109,"CORDES, AZ US",2017,34.305,-112.165,-3.9
91,USC00022109,"CORDES, AZ US",2018,34.305,-112.165,-6.7
92,USC00022109,"CORDES, AZ US",2019,34.305,-112.165,-8.9
51,USC00022140,"CORONADO NATIONAL MEMORIAL, AZ US",2015,31.3455,-110.2541,-8.3
52,USC00022140,"CORONADO NATIONAL MEMORIAL, AZ US",2016,31.3455,-110.2541,-9.4
53,USC00022140,"CORONADO NATIONAL MEMORIAL, AZ US",2017,31.3455,-110.2541,-7.8
3,USC00022480,"DESTINY RANCH, AZ US",2014,32.2844,-110.7313,-2.2
4,USC00022480,"DESTINY RANCH, AZ US",2015,32.2844,-110.7313,-2.8
5,USC00022480,"DESTINY RANCH, AZ US",2016,32.2844,-110.7313,-2.2
6,USC00022480,"DESTINY RANCH, AZ US",2017,32.2844,-110.7313,-2.8
15,USC00022527,"DIAMOND M. RANCH, AZ US",2014,35.2947,-113.3666,-12.8
16,USC00022527,"DIAMOND M. RANCH, AZ US",2015,35.2947,-113.3666,-16.7
17,USC00022527,"DIAMOND M. RANCH, AZ US",2016,35.2947,-113.3666,-14.4
18,USC00022527,"DIAMOND M. RANCH, AZ US",2017,35.2947,-113.3666,-17.2
19,USC00022527,"DIAMOND M. RANCH, AZ US",2018,35.2947,-113.3666,-16.1
35,USC00022659,"DOUGLAS, AZ US",2015,31.345,-109.5394,-7.8
75,USC00022754,"DUNCAN, AZ US",2014,32.748000000000005,-109.1213,-10.6
76,USC00022754,"DUNCAN, AZ US",2015,32.748000000000005,-109.1213,-10.6
77,USC00022754,"DUNCAN, AZ US",2016,32.748000000000005,-109.1213,-11.1
